Abilene Christian University,Private offering Doctorate,TX,Designated
Abraham Baldwin Agricultural College,Small public,GA,Designated
Abraham Lincoln University,Non traditional,CA,Designated
Adelphi University,Private offering Doctorate,NY,Designated
Adler Graduate School,Graduate school,MN,Designated
Advanced Technology Institute,Non traditional,VA,Designated
Aiken Technical College,Small community college,SC,Silver
Alabama Agricultural and Mechanical University,Small public,AL,Top Ten
Alamance Community College,Small community college,NC,Bronze
Albany Technical College,Small community college,GA,Silver
Albertus Magnus College,Private not offering Doctorate,CT,Gold
Alexandria Technical & Community College,Small community college,MN,Designated
Alfred State College,Private not offering Doctorate,NY,Gold
Alma College,Private not offering Doctorate,MI,Designated
Alvernia University,Private offering Doctorate,PA,Designated
American International College,Private offering Doctorate,MA,Designated
American Sentinel University,Non traditional,XX,Designated
Amherst College,Private not offering Doctorate,MA,Designated
Ancilla College,Online / Vocational,IN,Top Ten
Angelo State University,Large public,TX,Top Ten
Animal Behavior Institute,Non traditional,XX,Bronze
Anna Maria College,Non traditional,MA,Designated
AOMA Graduate School of Integrative Medicine,Non traditional,TX,Designated
Apex School Of Theology,Private offering Doctorate,NC,Designated
Appalachian State University,Large public,NC,Gold
Aquinas College,Private not offering Doctorate,MI,Designated
Arcadia University,Private offering Doctorate,PA,Designated
Arizona State University,Tier 1 research institution,AZ,Silver
Arizona State University at Skysong/Online,Large public,AZ,Designated
Arkansas State University,Large public,AR,Bronze
Arkansas Tech University,Large public,AR,Designated
Asher College - Las Vegas Campus,Non traditional,NV,Designated
Asher College- Sacramento Campus,Non traditional,CA,Bronze
Asher College-Dallas Campus,Non traditional,TX,Bronze
Asnuntuck Community College,Small community college,CT,Designated
Assumption College,Private not offering Doctorate,MA,Designated
At-Home Professions,Non traditional,XX,Designated
Athens State University,Small public,AL,Designated
Athens Technical College,Large community college,GA,Designated
Atlanta Technical College,Small community college,GA,Designated
Auburn University,Tier 2 research institution,AL,Bronze
Auburn University at Montgomery,Small public,AL,Bronze
Augsburg University,Private offering Doctorate,MN,Designated
Augustana University,Private not offering Doctorate,SD,Designated
Ave Maria School of Law,Private not offering Doctorate,FL,Designated
Aviation Institute of Maintenance,Non traditional,VA,Designated
Baker University,Private offering Doctorate,KS,Designated
Baldwin Wallace University,Private not offering Doctorate,OH,Silver
Ball State Online,Online / Vocational,XX,Top Ten
Ball State University,Tier 2 research institution,IN,Designated
Ball State University - Miller College of Business - MBA,Tier 2 research institution,IN,Designated
Barry University,Private offering Doctorate,FL,Designated
Barton College,Private not offering Doctorate,NC,Designated
Baruch College, City University of New York,Small public,NY,Designated
Belhaven University,Private offering Doctorate,MS,Designated
Bellevue University,Private offering Doctorate,NE,Designated
Belmont University,Private offering Doctorate,TN,Designated
Benedictine College,Private not offering Doctorate,KS,Designated
Benedictine University,Private offering Doctorate,IL,Designated
Benjamin N. Cardozo School of Law, Yeshiva University,Graduate school,NY,Silver
Berklee College of Music,Private not offering Doctorate,MA,Designated
Bethel University,Private offering Doctorate,MN,Designated
Black Hills State University,Small public,SD,Bronze
Blackhawk Technical College,Small community college,WI,Silver
Blackstone Career Institute,Online / Vocational,XX,Bronze
Bloomsburg University of Pennsylvania,Small public,PA,Bronze
Blue Ridge Community College,Small community college,VA,Silver
Bossier Parish Community College,Small community college,LA,Gold
Bowie State University,Small public,MD,Designated
Bradley University,Private offering Doctorate,IL,Designated
Brandman University,Private offering Doctorate,CA,Gold
Briar Cliff University,Private offering Doctorate,IA,Designated
Bristol Community College,Small community college,MA,Designated
Brookhaven College,Large community college,TX,Designated
Brooklyn College City University of New York,Large public,NY,Designated
Brooklyn Law School,Graduate school,NY,Designated
Bryant & Stratton College,Non traditional,NY,Designated
Bryant University,Private not offering Doctorate,RI,Top Ten
Buena Vista University,Private not offering Doctorate,IA,Designated
Butler Community College,Small community college,KS,Designated
CALC, Institute of Technology,Private not offering Doctorate,IL,Designated
California Baptist University,Private offering Doctorate,CA,Designated
California Institute of Advanced Management,Graduate school,CA,Designated
California Polytechnic State University-San Luis Obispo,Large public,CA,Designated
California State Polytechnic University, Pomona,Large public,CA,Designated
California State University San Marcos,Large public,CA,Silver
California State University, Chico,Large public,CA,Designated
California State University, Los Angeles,Large public,CA,Designated
California State University, Northridge,Large public,CA,Designated
California State University, San Bernardino,Large public,CA,Silver
California University of Pennsylvania,Large public,PA,Designated
Calumet College Of St. Joseph,Private not offering Doctorate,IN,Top Ten
Calvary University,Private offering Doctorate,MO,Designated
Cambridge College,Private offering Doctorate,MA,Designated
Camden County College,Large community college,NJ,Designated
Campbell University,Private offering Doctorate,NC,Designated
Campbellsville University,Private offering Doctorate,KY,Designated
Canisius College,Private not offering Doctorate,NY,Designated
Cape Fear Community College,Large community college,NC,Top Ten
Capitol Technology University,Graduate school,MD,Designated
Carlow University,Private offering Doctorate,PA,Designated
Carnegie Mellon University,Tier 1 research institution,PA,Designated
Carolina Career College,Non traditional,NC,Designated
Carroll College,Private not offering Doctorate,MT,Designated
Casper College,Small community college,WY,Silver
Catawba Valley Community College,Small community college,NC,Designated
Cayuga Community College,Small community college,NY,Designated
CDA Technical Institute,Non traditional,FL,Designated
Cedar Valley College,Small community college,TX,Bronze
Central Baptist College,Private not offering Doctorate,AR,Gold
Central Carolina Technical College,Small community college,SC,Bronze
Central Community College- Nebraska,Small community college,NE,Gold
Central Connecticut State University,Large public,CT,Top Ten
Central Georgia Technical College,Large community college,GA,Top Ten
Central Lakes College,Small community college,MN,Designated
Central Penn College,Non traditional,PA,Gold
Central Piedmont Community College,Large community college,NC,Designated
Central Texas College,Large community college,TX,Silver
Champlain College,Private not offering Doctorate,VT,Designated
Charleston Southern University,Private offering Doctorate,SC,Designated
Chattahoochee Technical College,Large community college,GA,Top Ten
Chestnut Hill College,Private offering Doctorate,PA,Designated
Chippewa Valley Technical College,Large community college,WI,Bronze
Citrus College,Large community college,CA,Silver
City Colleges of Chicago-Malcolm X College,Small community college,IL,Bronze
City University of Seattle,Private offering Doctorate,WA,Designated
Clackamas Community College,Large community college,OR,Silver
Clarion University of Pennsylvania,Small public,PA,Silver
Clark State Community College,Small community college,OH,Top Ten
Clovis Community College,Small community college,NM,Gold
Coastal Carolina Community College,Small community college,NC,Bronze
Coastal Carolina University,Large public,SC,Bronze
Coastal Pines Technical College,Small community college,GA,Designated
Coffeyville Community College,Small community college,KS,Designated
College of Charleston,Large public,SC,Designated
College of Coastal Georgia,Small public,GA,Bronze
College of Lake County,Large community college,IL,Silver
College of Southern Maryland,Large community college,MD,Bronze
College of the Mainland,Small community college,TX,Designated
College of William & Mary,Tier 2 research institution,VA,Designated
Collin College,Large community college,TX,Designated
Colorado Christian University - College of Adult and Graduate Studies,Private not offering Doctorate,CO,Silver
Colorado State University Pueblo,Small public,CO,Top Ten
Columbia College Missouri,Private not offering Doctorate,MO,Bronze
Columbia University in the City of New York,Tier 1 research institution,NY,Designated
Columbus Technical College,Small community college,GA,Designated
Community Business College,Non traditional,CA,Gold
Community College of Beaver County,Small community college,PA,Bronze
Concordia University - St Paul,Private offering Doctorate,MN,Designated
CONCORDIA UNIVERSITY WISCONSIN,Private offering Doctorate,WI,Designated
Cornell University,Tier 1 research institution,NY,Designated
Cornerstone University,Private offering Doctorate,MI,Designated
Cowley College,Small community college,KS,Bronze
Creighton University,Private offering Doctorate,NE,Designated
CUNY John Jay College,Large public,NY,Bronze
CUNY School of Professional Studies,Tier 1 research institution,NY,Designated
CUNY-College of Staten Island,Large public,NY,Top Ten
Cuyahoga Community College,Large community college,OH,Top Ten
Daemen College,Private offering Doctorate,NY,Designated
Dakota Wesleyan University,Private not offering Doctorate,SD,Bronze
Dallas Baptist University,Private offering Doctorate,TX,Designated
Dallas Institute Of Funeral Service,Online / Vocational,TX,Designated
Davis College,Non traditional,OH,Designated
Delaware Technical Community College,Large public,DE,Designated
Delaware Valley University,Private offering Doctorate,PA,Designated
Delta College,Small community college,MI,Top Ten
Delta State University,Small public,MS,Designated
Design Institute of San Diego,Non traditional,CA,Designated
Divers Institute of Technology,Non traditional,WA,Bronze
Doane University,Private offering Doctorate,NE,Designated
Drake University,Private offering Doctorate,IA,Designated
Drexel University,Tier 2 research institution,PA,Top Ten
Drexel University Online,Online / Vocational,XX,Top Ten
Duquesne University,Tier 2 research institution,PA,Bronze
Duquesne University School of Nursing,Tier 2 research institution,PA,Top Ten
East Tennessee State University,Large public,TN,Bronze
Eastern Connecticut State University,Small public,CT,Designated
Eastern Illinois University,Small public,IL,Designated
Eastern Kentucky University -,Large public,KY,Bronze
Eastern Kentucky University - EKU Online,Online / Vocational,XX,Top Ten
Eastern Michigan University,Large public,MI,Top Ten
Eastern New Mexico University,Small public,NM,Designated
Eastern Oregon University,Small public,OR,Bronze
ECPI University,Non traditional,VA,Silver
Edgewood College,Private offering Doctorate,WI,Gold
Edinboro University of Pennsylvania,Small public,PA,Silver
El Paso Community College,Large community college,TX,Silver
Elevate Salon Institute - Chubbuck,Non traditional,ID,Designated
ELGIN COMMUNITY COLLEGE,Large community college,IL,Bronze
Elizabeth City State University,Small public,NC,Top Ten
Elmhurst College,Private not offering Doctorate,IL,Designated
Elon University,Private offering Doctorate,NC,Designated
Embry-Riddle Aeronautical University - Daytona Beach,Private offering Doctorate,FL,Top Ten
Embry-Riddle Aeronautical University - Prescott, AZ,Private offering Doctorate,AZ,Silver
Embry-Riddle Aeronautical University - Worldwide,Graduate school,FL,Top Ten
Emily Griffith Technical College,Large public,CO,Gold
Emory University,Tier 1 research institution,GA,Designated
Erie Institute of Technology,Online / Vocational,PA,Bronze
Excelsior College,Online / Vocational,XX,Top Ten
Fayetteville Technical Community College,Large community college,NC,Top Ten
Felician University,Private offering Doctorate,NJ,Gold
FIDM - Fashion Institute of Design & Merchandising,Graduate school,CA,Designated
Finger Lakes Community College,Small community college,NY,Bronze
Fisher College,Private not offering Doctorate,MA,Designated
Fitchburg State University,Small public,MA,Designated
Flagler College,Private not offering Doctorate,FL,Designated
Florida Atlantic University,Tier 2 research institution,FL,Top Ten
Florida Institute of Technology,Tier 2 research institution,FL,Designated
Florida National University,Private not offering Doctorate,FL,Gold
Fort Hays State University - Virtual College,Online / Vocational,XX,Gold
Fort Valley State University,Small public,GA,Designated
Fox Valley Technical College,Large community college,WI,Gold
Franklin University,Graduate school,OH,Bronze
Fremont College,Private not offering Doctorate,CA,Top Ten
Friends University,Private not offering Doctorate,KS,Designated
Front Range Community College,Large community college,CO,Top Ten
FROSTBURG STATE UNIVERSITY,Small public,MD,Designated
Gannon University,Private offering Doctorate,PA,Designated
Gateway Technical College,Large community college,WI,Designated
George Mason University,Tier 1 research institution,VA,Bronze
Georgia Southern University,Large public,GA,Bronze
Georgia Southwestern State University,Small public,GA,Designated
Georgia State University,Tier 1 research institution,GA,Top Ten
Golden Gate University,Private offering Doctorate,CA,Bronze
Good Samaritan College of Nursing and Health Science,Private not offering Doctorate,OH,Designated
Graceland University,Private not offering Doctorate,IA,Designated
Grand Valley State University,Large public,MI,Bronze
Granite State College,Small public,NH,Designated
Grantham University,Non traditional,XX,Gold
Great Falls College Montana State University,Small community college,MT,Bronze
Great Lakes Christian College,Private not offering Doctorate,MI,Silver
Great Lakes Truck Driving School,Non traditional,OH,Top Ten
Green River College,Large public,WA,Designated
Greensboro College,Private not offering Doctorate,NC,Designated
Greenville Technical College,Large community college,SC,Designated
Greenville University,Private not offering Doctorate,IL,Designated
Gupton-jones College Of Funeral Service,Online / Vocational,GA,Designated
Gwinnett Technical College,Large community college,GA,Top Ten
Gwynedd Mercy University,Private offering Doctorate,PA,Designated
HACC, Central Pennsylvania's Community College,Large community college,PA,Designated
Hallmark University,Private not offering Doctorate,TX,Designated
Hamline University,Private offering Doctorate,MN,Designated
Hamrick School,Non traditional,OH,Designated
Hannibal-LaGrange University,Private not offering Doctorate,MO,Designated
Hardin-Simmons University,Private offering Doctorate,TX,Designated
Harold Washington College- City Colleges of Chicago,Large community college,IL,Silver
Harry S Truman College,Large community college,IL,Designated
Hawkeye Community College,Small community college,IA,Designated
HDS Truck Driving Institute,Non traditional,AZ,Designated
Heavy Equipment Colleges of America,Large public,GA,Designated
Hilbert College,Private not offering Doctorate,NY,Bronze
Hinds Community College,Large community college,MS,Designated
Hiwassee College,Private not offering Doctorate,TN,Silver
Hobart Institute of Welding Technology,Private not offering Doctorate,OH,Designated
Hodges University,Private not offering Doctorate,FL,Gold
Hofstra University,Private offering Doctorate,NY,Designated
Houston Baptist University,Private offering Doctorate,TX,Gold
Huntington University Of Health Sciences,Non traditional,XX,Bronze
Husson University,Private offering Doctorate,ME,Designated
Idaho State University,Large public,ID,Designated
Illinois College,Private not offering Doctorate,IL,Designated
Illinois State University,Tier 2 research institution,IL,Silver
Indiana Institute of Technology,Private offering Doctorate,IN,Bronze
Institute of Medical & Business Careers,Non traditional,PA,Top Ten
International Sports Sciences Association (ISSA),Non traditional,XX,Bronze
Inver Hills Community College,Small community college,MN,Silver
Iowa Central Community College,Small community college,IA,Designated
Iowa Lakes Community College,Small community college,IA,Silver
Jackson College,Small public,MI,Designated
Jackson State University,Tier 2 research institution,MS,Bronze
Jefferson College of Health Sciences,Graduate school,VA,Designated
Jefferson Community College,Small community college,NY,Gold
Johnson University,Graduate school,TN,Designated
Judson University,Private offering Doctorate,IL,Designated
Kansas City Kansas Community College,Small community college,KS,Bronze
Kansas State University Global Campus,Tier 1 research institution,KS,Bronze
Kean University,Large public,NJ,Top Ten
Kennesaw State University,Large public,GA,Silver
Kent State University,Large public,OH,Designated
Kent State University at Salem,Small public,OH,Top Ten
Kent State University at Stark,Small public,OH,Designated
Kent State University at Trumbull,Small public,OH,Designated
King University,Private offering Doctorate,TN,Designated
King's College,Private not offering Doctorate,PA,Designated
Klamath Community College,Small community college,OR,Bronze
Kutztown University of Pennsylvania,Small public,PA,Bronze
La Roche College,Private offering Doctorate,PA,Designated
La Salle University,Private offering Doctorate,PA,Designated
Labette Community College,Small community college,KS,Designated
Lake Area Technical Institute,Small community college,SD,Gold
Lake Erie College,Private not offering Doctorate,OH,Gold
Lake Region State College,Small community college,ND,Designated
Lakeshore Technical College,Small community college,WI,Silver
Lasell University,Private not offering Doctorate,MA,Designated
Laurel Business Institute,Non traditional,PA,Bronze
Lawrence Technological University,Private offering Doctorate,MI,Designated
Lehigh Carbon Community College,Small community college,PA,Designated
Lehman College - CUNY,Large public,NY,Designated
Lenoir-Rhyne University,Private offering Doctorate,NC,Designated
Lewis and Clark Community College,Small community college,IL,Designated
Lewis University,Private offering Doctorate,IL,Top Ten
Liberty University,Private offering Doctorate,VA,Top Ten
Lindenwood University,Private offering Doctorate,MO,Designated
Lindsey Wilson College,Private offering Doctorate,KY,Designated
Lively Tech,Large public,FL,Silver
Long Beach City College,Large community college,CA,Designated
Lord Fairfax Community College,Small community college,VA,Gold
Los Angeles Harbor College,Small community college,CA,Bronze
Louisiana State University Agricultural & Mechanical College,Tier 1 research institution,LA,Bronze
Louisiana Tech University,Large public,LA,Designated
Lourdes University,Private offering Doctorate,OH,Designated
Loyola University Chicago,Tier 2 research institution,IL,Silver
Loyola University New Orleans,Private offering Doctorate,LA,Designated
Lubbock Christian University,Private not offering Doctorate,TX,Designated
Macomb Community College,Large community college,MI,Silver
Maine Maritime Academy,Small public,ME,Designated
Malone University,Private not offering Doctorate,OH,Designated
Manchester Community College,Small community college,CT,Designated
Manhattan College,Private not offering Doctorate,NY,Silver
Mansfield University of PA,Small public,PA,Designated
Marist College,Private offering Doctorate,NY,Designated
Marshalltown Community College,Small community college,IA,Designated
Maryland Institute College of Art,Graduate school,MD,Designated
Marymount California University,Private not offering Doctorate,CA,Designated
Marymount University,Private offering Doctorate,VA,Designated
Maryville College,Private not offering Doctorate,TN,Designated
Maryville University of Saint Louis,Private offering Doctorate,MO,Designated
Massachusetts Bay Community College,Small community college,MA,Designated
Massachusetts Maritime Academy,Small public,MA,Designated
McDaniel College,Private not offering Doctorate,MD,Designated
McHenry County College,Large community college,IL,Bronze
McKendree University,Private offering Doctorate,IL,Designated
McMurry University,Private not offering Doctorate,TX,Bronze
McNeese State University,Small public,LA,Designated
Med-Line School,Non traditional,XX,Top Ten
MedCerts,Non traditional,XX,Top Ten
Menlo College,Private not offering Doctorate,CA,Designated
Mercyhurst University,Private not offering Doctorate,PA,Bronze
Meredith College,Private not offering Doctorate,NC,Designated
Michigan Technological University,Tier 2 research institution,MI,Silver
Mid-America Christian University,Private not offering Doctorate,OK,Designated
Mid-America College Of Funeral Service,Private not offering Doctorate,#N/A,Designated
Middlebury Institute of International Studies at Monterey,Graduate school,CA,Designated
Middlesex Community College,Small community college,MA,Silver
Middlesex Community College, Middletown, CT 06457,Small community college,CT,Gold
Midwest Technical Institute,Non traditional,IL,Designated
Midwestern Career College,Non traditional,IL,Designated
Millersville University of Pennsylvania,Small public,PA,Designated
Milligan College,Private offering Doctorate,TN,Designated
Milwaukee Area Technical College,Large community college,WI,Designated
Milwaukee School of Engineering,Private not offering Doctorate,WI,Designated
Minnesota State College Southeast,Small community college,MN,Designated
Minnesota State Community and Technical College,Small community college,MN,Designated
Minnesota West Community and Technical College,Small community college,MN,Top Ten
Mississippi College,Private offering Doctorate,MS,Designated
Mississippi Gulf Coast Community College,Large community college,MS,Top Ten
Mississippi State University,Tier 2 research institution,MS,Top Ten
Mississippi University for Women,Small public,MS,Designated
Missouri Western State University,Small public,MO,Bronze
Mitchell Technical Institute,Small community college,SD,Designated
Moberly Area Community College,Small community college,MO,Designated
Montana State University,Tier 2 research institution,MT,Silver
Montana Tech,Small public,MT,Designated
Montclair State University,Large public,NJ,Designated
Montreat College,Private not offering Doctorate,NC,Designated
Moraine Park Technical College,Small community college,WI,Designated
Morehead State University,Large public,KY,Bronze
Morgan State University,Small public,MD,Gold
Morgantown Beauty College, Inc.,Non traditional,WV,Designated
Morningside College,Private not offering Doctorate,IA,Designated
Mount Aloysius College,Private not offering Doctorate,PA,Top Ten
Mount Marty College,Private offering Doctorate,SD,Designated
Mount Wachusett Community College,Small community college,MA,Bronze
Mountain View College,Large community college,TX,Silver
Mt. Hood Community College,Large community college,OR,Designated
Mt. San Jacinto College,Large community college,CA,Silver
MTI College,Non traditional,CA,Designated
Muhlenberg College,Private not offering Doctorate,PA,Designated
Murray State University,Small public,KY,Designated
MyComputerCareer,Non traditional,NC,Top Ten
Naropa University,Private not offering Doctorate,CO,Designated
Nash Community College,Large community college,NC,Designated
Nassau Community College,Large community college,NY,Bronze
National Aviation Academy (NAA),Non traditional,FL,Designated
National Louis University,Private offering Doctorate,IL,Bronze
National Tractor Trailer School,Non traditional,NY,Designated
National University,Private not offering Doctorate,CA,Gold
National University College,Non traditional,PR,Designated
Nebraska Methodist College,Graduate school,NE,Bronze
New England College,Private offering Doctorate,NH,Bronze
New Horizons Computer Learning Centers,Non traditional,PA,Silver
New Jersey Institute of Technology,Large public,NJ,Silver
New Mexico State University,Tier 2 research institution,NM,Designated
New York Institute of Technology,Private offering Doctorate,NY,Designated
